n,bits,mitigation,checksum_mode,action,fault_op,fault_site,stage,slot,bit,seed,returncode,execution_valid,fault_injections,fault_observed,golden_match,detected,corrected,max_abs_error,mean_abs_error,rms_error,relative_l2_error,snr_db,checks_performed,check_failures,stage_checks,stage_failures,s1_failures,s2_failures,recomputations,elapsed_ntt_ns,mitigation_time_ns,mod_adds,mod_subs,mod_muls,memory_reads,memory_writes
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,38,26,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,313125 ns,281792,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,39,0,1,0,PASS,1,PASS,FAIL,yes,no,6.11715842e2,2.49437814e2,2.86456774e2,8.93096248e1,-39.01796530,1152,1,0,0,0,0,0,370666 ns,333333,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,39,8,1,0,PASS,1,PASS,FAIL,yes,no,5.45341358e2,2.58734864e2,2.84058453e2,8.85618921e1,-38.94493773,1152,1,0,0,0,0,0,325542 ns,290874,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,39,24,1,0,PASS,1,PASS,FAIL,yes,no,6.47119579e2,2.72545611e2,2.99689385e2,9.34352019e1,-39.41021057,1152,1,0,0,0,0,0,309250 ns,278833,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,39,26,1,0,PASS,1,PASS,FAIL,yes,no,6.83893840e2,2.78570108e2,3.17212749e2,9.88985221e1,-39.90379604,1152,1,0,0,0,0,0,325292 ns,281212,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,40,0,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,430043 ns,383205,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,40,8,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,312083 ns,279958,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,40,24,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,360417 ns,322666,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,40,26,1,0,FAIL,0,N/A,PASS,no,no,0.00000000e0,0.00000000e0,0.00000000e0,0.00000000e0,inf,1152,0,0,0,0,0,0,409958 ns,354080,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,41,0,1,0,PASS,1,PASS,FAIL,yes,no,6.14175748e2,2.68205548e2,3.01529164e2,9.40087964e1,-39.46336985,1152,1,0,0,0,0,0,310166 ns,278543,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,41,8,1,0,PASS,1,PASS,FAIL,yes,no,5.20898464e2,2.66342255e2,3.03028455e2,9.44762356e1,-39.50645161,1152,1,0,0,0,0,0,152126 ns,131166,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,41,24,1,0,PASS,1,PASS,FAIL,yes,no,5.91936992e2,2.55380334e2,2.88375640e2,8.99078763e1,-39.07595479,1152,1,0,0,0,0,0,439002 ns,392294,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,41,26,1,0,PASS,1,PASS,FAIL,yes,no,5.98136210e2,2.40097386e2,2.80758800e2,8.75331479e1,-38.84345094,1152,1,0,0,0,0,0,311125 ns,279496,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,45,0,1,0,PASS,1,PASS,FAIL,yes,no,7.27733089e2,2.62967928e2,3.12102264e2,9.73052085e1,-39.76272175,1152,1,0,0,0,0,0,310583 ns,280666,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,45,8,1,0,PASS,1,PASS,FAIL,yes,no,6.87956808e2,2.80627985e2,3.14976630e2,9.82013597e1,-39.84235002,1152,1,0,0,0,0,0,310791 ns,279502,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,45,24,1,0,PASS,1,PASS,FAIL,yes,no,5.39922510e2,2.81861245e2,3.12662524e2,9.74798827e1,-39.77829996,1152,1,0,0,0,0,0,310833 ns,278877,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,45,26,1,0,PASS,1,PASS,FAIL,yes,no,4.99822939e2,2.38043725e2,2.64680161e2,8.25202545e1,-38.33121117,1152,1,0,0,0,0,0,128708 ns,115540,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,47,0,1,0,PASS,1,PASS,FAIL,yes,no,5.63552285e2,2.47840323e2,2.83091628e2,8.82604617e1,-38.91532390,1152,1,0,0,0,0,0,312042 ns,279998,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,47,8,1,0,PASS,1,PASS,FAIL,yes,no,5.32778108e2,2.38855492e2,2.69461703e2,8.40110124e1,-38.48672437,1152,1,0,0,0,0,0,313001 ns,281124,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,47,24,1,0,PASS,1,PASS,FAIL,yes,no,7.40218412e2,2.60018303e2,3.04930865e2,9.50693567e1,-39.56081110,1152,1,0,0,0,0,0,312041 ns,281333,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,47,26,1,0,PASS,1,PASS,FAIL,yes,no,6.93500087e2,2.17205924e2,2.51318805e2,7.83545381e1,-37.88128310,1152,1,0,0,0,0,0,309749 ns,278914,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,53,0,1,0,PASS,1,PASS,FAIL,yes,no,5.90609149e2,2.77847392e2,3.08583138e2,9.62080385e1,-39.66422721,1152,1,0,0,0,0,0,311293 ns,278752,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,53,8,1,0,PASS,1,PASS,FAIL,yes,no,5.95918722e2,2.41245418e2,2.85042738e2,8.88687660e1,-38.97498300,1152,1,0,0,0,0,0,311917 ns,279873,1152,1152,2432,2816,2816
64,28,butterfly-check,sum,detect-only,ntt,mul-output,0,53,24,1,0,PASS,1,PASS,FAIL,yes,no,7.15425335e2,2.71414566e2,3.04447277e2,9.49185867e1,-39.54702527,1152,1,0,0,0,0,0,310000 ns,279833,1152,1152,2432,2816,2816
