n,bits,mitigation,action,repeat,elapsed_ntt_ns,mitigation_time_ns,checks_performed,check_failures,stage_checks,stage_failures,recomputations,mod_adds,mod_subs,mod_muls,memory_reads,memory_writes
2048,54,none,detect-only,20,6713000 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,54,none,detect-only,21,6724583 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,54,none,detect-only,22,6697248 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,54,none,detect-only,23,6728499 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,54,none,detect-only,24,6694000 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,54,none,detect-only,25,6755751 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,54,none,detect-only,26,6746834 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,54,none,detect-only,27,6739166 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,54,none,detect-only,28,6720417 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,54,none,detect-only,29,6735751 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,54,none,detect-only,30,6703623 ns,0,0,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,detect-only,1,7738374 ns,7493213,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,detect-only,2,7580874 ns,7321331,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,detect-only,3,7595708 ns,7342753,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,detect-only,4,7600125 ns,7350995,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,detect-only,5,7601250 ns,7345669,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,detect-only,6,7632501 ns,7374541,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,detect-only,7,7925417 ns,7679328,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,detect-only,8,7835250 ns,7590501,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,detect-only,9,8004040 ns,7748247,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,detect-only,10,7996626 ns,7729377,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,detect-only,11,7590624 ns,7329416,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,detect-only,12,7585877 ns,7340082,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,detect-only,13,7582083 ns,7325583,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,detect-only,14,7606167 ns,7355998,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,detect-only,15,22466084 ns,21738626,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,detect-only,16,7585292 ns,7338707,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,detect-only,17,7598416 ns,7350001,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,detect-only,18,7564041 ns,7319543,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,detect-only,19,7596458 ns,7347788,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,detect-only,20,7616585 ns,7366167,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,detect-only,21,7633624 ns,7371458,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,detect-only,22,7872335 ns,7620710,67584,0,0,0,0,67584,67584,139264,151552,151552
2048,54,butterfly-check,detect-only,23,7624291 ns,7372247,67584,0,0,0,0,67584,67584,139264,151552,151552
